Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Vinnie Pasquantino ","KCR","1B/DH",77.0999984741211,560.055,389.17981058359146,8.608400891792867,20.746184845518716,30.35458573731158,"Vinnie Pasquantino","27676",686469
"Jackson Chourio ","MIL","OF",19.3799991607666,594.109,386.9066996574402,7.984257033691507,21.305113631367174,30.289370665058684,"Jackson Chourio","28806",694192
"Kyle Schwarber ","PHI","DH",24.690000534057617,626.373,412.71459352970123,15.070509739438915,14.057544455480272,30.12805419491919,"Kyle Schwarber","16478",656941
"Yandy Díaz ","TBR","1B/DH",138.63999938964844,614.32,387.77150666713715,8.221713102084642,20.746184845518716,29.96789794760336,"Yandy Diaz","16578",650490
"Alex Bregman ","CHC","3B",119.16999816894531,635.426,409.5630053281784,14.205156273131976,14.057544455480272,29.262700728612245,"Alex Bregman","17678",608324
"William Contreras ","MIL","C/DH",56.560001373291016,586.014,361.12449675798416,0.9050584768201713,27.34328016552604,29.24833864234621,"William Contreras","20503",661388
"Josh Naylor ","SEA","1B/DH",67.45999908447266,570.12,384.77809780836105,7.399792036774095,20.746184845518716,29.145976882292807,"Josh Naylor","18839",647304
"Brent Rooker ","ATH","OF/DH",42.11000061035156,607.999,374.9519077539444,4.7017467718274935,21.305113631367174,27.006860403194672,"Brent Rooker","19627",667670
"Trea Turner ","PHI","SS",26.780000686645508,609.394,386.9846017360687,8.00564714859965,17.370232310689723,26.375879459289372,"Trea Turner","16252",607208
"Nico Hoerner ","CHC","2B",101.93000030517578,602.002,369.0100016593933,3.0702363375310293,21.08561731868389,25.155853656214923,"Nico Hoerner","21479",663538
"Luis Arraez ","SFG","1B/DH",280.04998779296875,591.681,368.4032998085022,2.903649995625771,20.746184845518716,24.649834841144482,"Luis Arraez","18568",650333
"Maikel Garcia ","KCR","3B",63.150001525878906,620.014,391.4463920593262,9.230751913333815,14.057544455480272,24.288296368814084,"Maikel Garcia","22715",672580
"Rafael Devers ","SFG","1B/DH",61.619998931884766,622.074,366.2010978460312,2.2989761042806323,20.746184845518716,24.045160949799346,"Rafael Devers","17350",646240
"Pete Crow-Armstrong ","CHC","OF",32.939998626708984,587.39,363.5986053943634,1.5843916725327991,21.305113631367174,23.889505303899973,"Pete Crow-Armstrong","27769",691718
"Jose Altuve ","HOU","2B/OF/DH",116.5199966430664,586.847,361.30720484256744,0.9552259048617058,21.08561731868389,23.040843223545597,"Jose Altuve","5417",514888
"Steven Kwan ","CLE","OF",169.60000610351562,573.283,359.0946055650711,0.34769715050080063,21.305113631367174,22.652810781867977,"Steven Kwan","24610",680757
"Jackson Merrill ","SDP","OF",70.79000091552734,578.999,357.09390211105347,-0.2016498955853194,21.305113631367174,22.103463735781855,"Jackson Merrill","29490",701538
"Gleyber Torres ","DET","2B",261.510009765625,637.404,357.8062079548836,-0.006067131716855876,21.08561731868389,22.079550186967037,"Gleyber Torres","16997",650402
"Brandon Nimmo ","TEX","OF",145.4600067138672,641.893,356.2110893726349,-0.44404992199781407,21.305113631367174,21.86106370936936,"Brandon Nimmo","12927",607043
"Wyatt Langford ","TEX","OF",37.75,558.778,355.8021012544632,-0.5563486308098393,21.305113631367174,21.748765000557334,"Wyatt Langford","33333",694671
"James Wood ","WSN","OF/DH",37.790000915527344,597.537,354.1985048055649,-0.9966592478318033,21.305113631367174,21.30845438353537,"James Wood","29518",695578
"Alec Burleson ","STL","1B/OF/DH",175.19000244140625,540.963,353.9228974580765,-1.0723346718524638,21.305113631367174,21.23277895951471,"Alec Burleson","27615",676475
"Manny Machado ","SDP","3B",37.52000045776367,591.132,380.09290903806686,6.113347208507065,14.057544455480272,21.170891663987337,"Manny Machado","11493",592518
"Adley Rutschman ","BAL","C",148.92999267578125,544.55,330.40459138154984,-7.529919350953663,27.34328016552604,20.813360814572373,"Adley Rutschman","26288",668939
"Salvador Perez ","KCR","C/1B/DH",91.13999938964844,563.481,329.83310121297836,-7.6868373766318605,27.34328016552604,20.65644278889418,"Salvador Perez","7304",521692
"Corey Seager ","TEX","SS",95.08999633789062,515.276,363.0540084838867,1.4348579155548615,17.370232310689723,19.805090226244584,"Corey Seager","13624",608369
"Marcus Semien ","NYM","2B",266.25,620.714,348.2719017267227,-2.6239678267963207,21.08561731868389,19.46164949188757,"Marcus Semien","12533",543760
"CJ Abrams ","WSN","SS",65,588.828,360.11709809303284,0.62845002707176,17.370232310689723,18.998682337761483,"CJ Abrams","25768",682928
"Geraldo Perdomo ","ARI","SS",76.7699966430664,556.962,359.3916985988617,0.429272048668685,17.370232310689723,18.799504359358405,"Geraldo Perdomo","22799",672695
"Zach Neto ","LAA","SS",32.29999923706055,598.581,359.01160168647766,0.32490619893452327,17.370232310689723,18.695138509624247,"Zach Neto","31347",687263
"Nolan Schanuel ","LAA","1B",594.6599731445312,558.658,344.56370639801025,-3.642152778718027,20.746184845518716,18.104032066800688,"Nolan Schanuel","33189",694384
"Masyn Winn ","STL","SS",364.7799987792969,648.973,354.6212034225464,-0.8805959521158997,17.370232310689723,17.489636358573822,"Masyn Winn","27479",691026
"Ian Happ ","CHC","OF",184.86000061035156,627.12,338.8562891483307,-5.209277981904083,21.305113631367174,17.09583564946309,"Ian Happ","17919",664023
"Taylor Ward ","BAL","OF",148.42999267578125,610.312,338.8395015001297,-5.21388748309299,21.305113631367174,17.09122614827418,"Taylor Ward","17548",621493
"Brice Turang ","MIL","2B",48.18000030517578,613.003,338.4223029613495,-5.32844058412859,21.08561731868389,16.7571767345553,"Brice Turang","22186",668930
"Shea Langeliers ","ATH","C",54.04999923706055,492.493,314.37220150232315,-11.93204401573996,27.34328016552604,16.411236149786077,"Shea Langeliers","25816",669127
"Jeremy Peña ","HOU","SS",122.9800033569336,598.831,349.3377867937088,-2.331300359341172,17.370232310689723,16.03893195134855,"Jeremy Pena","21636",665161
"Munetaka Murakami ","CHW","1B",999,587.261,336.0489013195038,-5.98012196074923,20.746184845518716,15.766062884769484,"Munetaka Murakami","sa3063258",808959
"Jazz Chisholm Jr. ","NYY","2B/3B",19.520000457763672,545.576,332.84730434417725,-6.859206683486147,21.08561731868389,15.226410635197745,"Jazz Chisholm Jr.","20454",665862
"Ozzie Albies ","ATL","2B",150.5,548.959,327.5353070497513,-8.31775868260947,21.08561731868389,13.76785863607442,"Ozzie Albies","16556",645277
"Riley Greene ","DET","OF/DH",78.4800033569336,582.17,323.07809710502625,-9.541605780990492,21.305113631367174,12.76350785037668,"Riley Greene","25976",682985
"Drake Baldwin ","ATL","C",78.62999725341797,485.094,300.6641025543213,-15.695971972888715,27.34328016552604,12.64730819263732,"Drake Baldwin","31539",686948
"Jarren Duran ","BOS","OF",64.04000091552734,576.529,322.3798985481262,-9.733315009084443,21.305113631367174,12.571798622282731,"Jarren Duran","24617",680776
"Ben Rice ","NYY","C/1B/DH",53.189998626708984,464.664,300.12080359458923,-15.845149342513947,27.34328016552604,12.49813082301209,"Ben Rice","29576",700250
"Austin Riley ","ATL","3B",59.36000061035156,616.633,341.79819762706757,-4.401497733709657,14.057544455480272,10.656046721770617,"Austin Riley","18360",663586
"Randy Arozarena ","SEA","OF",89.37999725341797,631.303,314.6835021972656,-11.846568021350192,21.305113631367174,10.458545610016984,"Randy Arozarena","19290",668227
"Bryson Stott ","PHI","2B",181.44000244140625,528.603,310.9258003234863,-12.87834632926865,21.08561731868389,9.207270989415244,"Bryson Stott","26294",681082
"Yainer Diaz ","HOU","C/DH",113.04000091552734,481.479,287.9696010351181,-19.181589442637208,27.34328016552604,9.16169072288883,"Yainer Diaz","23003",673237
"Will Smith ","LAD","C",95.69000244140625,472.159,286.5595909357071,-19.568745710852564,27.34328016552604,8.774534454673475,"Will Smith","19197",669257
"Brendan Donovan ","SEA","2B",268.5799865722656,544.974,309.2628014087677,-13.334967493994768,21.08561731868389,8.750649824689127,"Brendan Donovan","24679",680977
"Michael Harris II ","ATL","OF",99.06999969482422,484.77,307.89649200439453,-13.710124558788571,21.305113631367174,8.594989072578603,"Michael Harris II","25931",671739
"Alejandro Kirk ","TOR","C",160.25,445.579,285.2664036154747,-19.923825137030942,27.34328016552604,8.419455028495095,"Alejandro Kirk","22581",672386
"Bryan Reynolds ","PIT","OF/DH",204.72000122070312,605.663,305.8436005115509,-14.273801237241004,21.305113631367174,8.031312394126168,"Bryan Reynolds","19326",668804
"Teoscar Hernández ","LAD","OF",125.41999816894531,548.266,305.03460013866425,-14.495934089681183,21.305113631367174,7.80917954168599,"Teoscar Hernandez","13066",606192
"Jacob Wilson ","ATH","SS",196.44000244140625,477.656,318.38790476322174,-10.829424474646494,17.370232310689723,7.540807836043228,"Jacob Wilson","33266",805779
"Byron Buxton ","MIN","OF",73.4800033569336,488.814,301.5967035293579,-15.439901244473365,21.305113631367174,6.865212386893807,"Byron Buxton","14161",621439
"Willy Adames ","SFG","SS",133.92999267578125,599.052,315.7257926464081,-11.560379092026167,17.370232310689723,6.809853218663555,"Willy Adames","15986",642715
"Seiya Suzuki ","CHC","OF/DH",113.43000030517578,529.27,301.35239577293396,-15.506982522339866,21.305113631367174,6.798131109027308,"Seiya Suzuki","30116",673548
"Ezequiel Tovar ","COL","SS",209.22999572753906,602.993,314.70869970321655,-11.839649367096317,17.370232310689723,6.530582943593405,"Ezequiel Tovar","24064",678662
"Hunter Goodman ","COL","C/DH",67.36000061035156,468.571,277.36860167980194,-22.09237947986601,27.34328016552604,6.250900685660026,"Hunter Goodman","29715",696100
"Matt Chapman ","SFG","3B",163.6199951171875,596.907,322.2045087814331,-9.781472995743144,14.057544455480272,5.276071459737128,"Matt Chapman","16505",656305
"Michael Busch ","CHC","1B",106.45999908447266,505.652,295.7582006454468,-17.04301954089112,20.746184845518716,4.7031653046275945,"Michael Busch","26319",683737
"Oneil Cruz ","PIT","OF",92.93000030517578,516.681,293.166207075119,-17.754721221854588,21.305113631367174,4.550392409512586,"Oneil Cruz","21711",665833
"Jakob Marsee ","MIA","OF",137.0800018310547,541.349,292.4757022857666,-17.944317918745046,21.305113631367174,4.36079571262213,"Jakob Marsee","31370",805300
"Bo Bichette ","NYM","SS",92.86000061035156,503.043,306.52699995040894,-14.086155505796059,17.370232310689723,4.284076804893662,"Bo Bichette","19612",666182
"Andy Pages ","LAD","OF",133.4199981689453,492.668,289.9170035123825,-18.646877616015573,21.305113631367174,3.6582360153516023,"Andy Pages","24816",681624
"Kazuma Okamoto ","TOR","3B",999,516.096,315.7456082701683,-11.554938178552874,14.057544455480272,3.5026062769273993,"Kazuma Okamoto","sa3063134",672960
"Tyler Soderstrom ","ATH","1B/OF",82.8499984741211,460.771,288.5125021338463,-19.03252131647172,21.305113631367174,3.272592314895456,"Tyler Soderstrom","27467",691016
"Spencer Torkelson ","DET","1B",188.35000610351562,569.68,289.0214954614639,-18.892763482574445,20.746184845518716,2.85342136294427,"Spencer Torkelson","27465",679529
"Daylen Lile ","WSN","OF",206.50999450683594,494.696,284.250599861145,-20.20274143055941,21.305113631367174,2.102372200807764,"Daylen Lile","29995",695734
"TJ Friedl ","CIN","OF",265.1499938964844,512.243,283.59389650821686,-20.383057032235154,21.305113631367174,1.9220565991320187,"TJ Friedl","19522",670770
"Nolan Arenado ","ARI","3B",638.0599975585938,530.553,309.405096411705,-13.295896566527002,14.057544455480272,1.76164788895327,"Nolan Arenado","9777",571448
"Isaac Paredes ","HOU","3B",243.60000610351562,478.084,309.11159586906433,-13.376485049443126,14.057544455480272,1.6810594060371449,"Isaac Paredes","20036",670623
"Jake Cronenworth ","SDP","2B",738.2999877929688,590.394,283.11929392814636,-20.513371959668817,21.08561731868389,1.5722453590150787,"Jake Cronenworth","18036",630105
"Eugenio Suárez ","CIN","3B",97.91999816894531,563.019,308.6416983604431,-13.505508072723227,14.057544455480272,1.5520363827570454,"Eugenio Suarez","12552",553993
"Roman Anthony ","BOS","OF",50.75,511.079,280.30460715293884,-21.286220060926848,21.305113631367174,1.018893570440326,"Roman Anthony","31812",701350
"Alec Bohm ","PHI","3B",239.8699951171875,532.437,306.6312004327774,-14.057544455480272,14.057544455480272,1,"Alec Bohm","21618",664761
"Xander Bogaerts ","SDP","SS",237.1999969482422,519.972,294.5665027499199,-17.370232310689723,17.370232310689723,1,"Xander Bogaerts","12161",593428
"Josh Bell ","MIN","1B/DH",636.3300170898438,486.908,282.27139723300934,-20.746184845518716,20.746184845518716,1,"Josh Bell","13145",605137
"Luke Keaschall ","MIN","2B",114.8499984741211,479.307,281.03519558906555,-21.08561731868389,21.08561731868389,1,"Luke Keaschall","33321",807712
"Ceddanne Rafaela ","BOS","2B/OF",125.02999877929688,510.005,280.2357974052429,-21.305113631367174,21.305113631367174,1,"Ceddanne Rafaela","24262",678882
"Agustín Ramírez ","MIA","C/DH",86.8499984741211,422.292,258.24499809741974,-27.34328016552604,27.34328016552604,1,"Agustin Ramirez","26546",682663
"Jung Hoo Lee ","SFG","OF",339.44000244140625,470,278.39110136032104,-21.811624639367686,21.305113631367174,0.4934889919994896,"Jung Hoo Lee","33824",808982
"Andrés Giménez ","TOR","2B",412.2200012207031,525.77,278.83151066303253,-21.690698397636275,21.08561731868389,0.3949189210476184,"Andres Gimenez","19950",665926
"Jorge Polanco ","NYM","2B/DH",209.42999267578125,468.512,278.02070197463036,-21.913327771829763,21.08561731868389,0.17228954685412867,"Jorge Polanco","13152",593871
"Jake Burger ","TEX","1B",236.72000122070312,502.812,278.66389775276184,-21.73672103880191,20.746184845518716,0.00946380671680358,"Jake Burger","22275",669394
"Heliot Ramos ","SFG","OF",218.8000030517578,536.935,276.6213045120239,-22.2975700546326,21.305113631367174,0.007543576734574398,"Heliot Ramos","22515",671218
"Jeff McNeil ","ATH","2B/OF",440.5199890136719,483.961,277.26589822769165,-22.12057948018407,21.08561731868389,-0.03496216150017517,"Jeff McNeil","15362",643446
"Daulton Varsho ","TOR","OF",192.2100067138672,518.521,272.2539894580841,-23.496734088358572,21.305113631367174,-1.1916204569913975,"Daulton Varsho","19918",662139
"Colt Keith ","DET","2B/3B/DH",502.489990234375,488.787,272.92460322380066,-23.31259900800906,21.08561731868389,-1.2269816893251702,"Colt Keith","27899",690993
"Lawrence Butler ","ATH","OF",157.22000122070312,480.389,268.19449841976166,-24.61137674368927,21.305113631367174,-2.306263112322093,"Lawrence Butler","22542",671732
"Brandon Lowe ","PIT","2B",187.57000732421875,489.144,264.2690999507904,-25.689200670723547,21.08561731868389,-3.603583352039653,"Brandon Lowe","18882",664040
"Adolis García ","PHI","OF",213.99000549316406,500,263.070201843977,-26.018390452554353,21.305113631367174,-3.7132768211871765,"Adolis Garcia","19287",666969
"Jo Adell ","LAA","OF",120.33000183105469,459.514,261.75679874420166,-26.37902066575913,21.305113631367174,-4.073907034391957,"Jo Adell","20220",666176
"Carlos Correa ","HOU","3B/SS",281.2300109863281,485.762,274.3891007602215,-22.910481745694344,17.370232310689723,-4.540249435004623,"Carlos Correa","14162",621043
"Ryan Jeffers ","MIN","C/DH",298.05999755859375,453.969,237.6409990787506,-33.000663310308376,27.34328016552604,-4.657383144782339,"Ryan Jeffers","24618",680777
"Christian Walker ","HOU","1B",212.94000244140625,510.967,261.1260895729065,-26.55219886440454,20.746184845518716,-4.806014018885825,"Christian Walker","13419",572233
"Luis García Jr. ","WSN","2B",261.8500061035156,423.164,259.22409641742706,-27.074442338088986,21.08561731868389,-4.988825019405092,"Luis Garcia Jr.","20391",671277
"Xavier Edwards ","MIA","2B/SS",182.42999267578125,481.817,272.52170300483704,-23.423226120043413,17.370232310689723,-5.052993809353693,"Xavier Edwards","22266",669364
"Ernie Clement ","TOR","2B/3B/SS",337.67999267578125,467.29,272.096697807312,-23.53992274960277,17.370232310689723,-5.169690438913049,"Ernie Clement","20352",676391
"Otto Lopez ","MIA","2B/SS",229.16000366210938,487.888,271.99319541454315,-23.56834212060762,17.370232310689723,-5.198109809917902,"Otto Lopez","19608",672640
"Andrew Vaughn ","MIL","1B",272.2699890136719,494.628,259.5328940153122,-26.989653636447056,20.746184845518716,-5.24346879092834,"Andrew Vaughn","26197",683734
"JJ Wetherholt ","STL","SS",999,493.862,270.22330343723297,-24.054313656106505,17.370232310689723,-5.684081345416783,"JJ Wetherholt","sa3025154",802139
"Iván Herrera ","STL","DH",178.42999267578125,472.125,282.2434011697769,-20.753871919086706,14.057544455480272,-5.696327463606435,"Ivan Herrera","20599",671056
"Sal Frelick ","MIL","OF",216.39999389648438,456.988,255.43849635124207,-28.113880846502642,21.305113631367174,-5.80876721513547,"Sal Frelick","29622",686217
"Gabriel Moreno ","ARI","C",181.22000122070312,400.478,232.30440151691437,-34.465969975750504,27.34328016552604,-6.122689810224464,"Gabriel Moreno","22664",672515
"Trent Grisham ","NYY","OF",253.82000732421875,477.724,253.8746075630188,-28.543288655287324,21.305113631367174,-6.2381750239201486,"Trent Grisham","18564",663757
"Wilyer Abreu ","BOS","OF",199.89999389648438,429.527,251.25959634780884,-29.261310450907715,21.305113631367174,-6.956196819540542,"Wilyer Abreu","23772",677800
"Caleb Durbin ","BOS","3B",219.8300018310547,445.419,277.4610970020294,-22.066982396684885,14.057544455480272,-7.009437941204615,"Caleb Durbin","29646",702332
"Ryan O'Hearn ","PIT","1B/OF/DH",285.44000244140625,447.284,250.75949370861053,-29.398627106722834,21.305113631367174,-7.093513475355662,"Ryan O'Hearn","16442",656811
"Royce Lewis ","MIN","3B",193.64999389648438,468.021,277.0759034752846,-22.17274765922984,14.057544455480272,-7.115203203749569,"Royce Lewis","20437",668904
"Chase Meidroth ","CHW","2B/SS",646.8699951171875,482.553,263.2172982096672,-25.97800118156086,17.370232310689723,-7.607768870871137,"Chase Meidroth","31580",805367
"Kevin McGonigle ","DET","SS",999,443.412,263.2032034397125,-25.981871280462478,17.370232310689723,-7.611638969772757,"Kevin McGonigle","sa3022895",805808
"Willi Castro ","COL","2B/3B/OF",256.3399963378906,508.954,248.40450191497803,-30.045253563427927,21.08561731868389,-7.959636244744036,"Willi Castro","17338",650489
"Lars Nootbaar ","STL","OF",745.989990234375,445.459,246.70659625530243,-30.511459315611067,21.305113631367174,-8.206345684243892,"Lars Nootbaar","21454",663457
"Willson Contreras ","BOS","1B",168.1999969482422,456.372,247.86410248279572,-30.19363478963106,20.746184845518716,-8.447449944112343,"Willson Contreras","11609",575929
"Luis Robert Jr. ","NYM","OF",105.63999938964844,489.095,245.71949511766434,-30.782494532279895,21.305113631367174,-8.477380900912717,"Luis Robert Jr.","20043",673357
"Chase DeLauter ","CLE","OF",999,470.815,245.13960134983063,-30.94171999258661,21.305113631367174,-8.636606361219437,"Chase DeLauter","32127",800050
"Kerry Carpenter ","DET","OF/DH",236.22000122070312,421.622,243.9083971977234,-31.279780269701078,21.305113631367174,-8.974666638333902,"Kerry Carpenter","25961",681481
"Miguel Vargas ","CHW","1B/3B",303.0899963378906,491.677,268.9526983499527,-24.403192521706373,14.057544455480272,-9.345648066226103,"Miguel Vargas","20178",678246
"Christian Yelich ","MIL","DH",127.22000122070312,475.637,267.44920015335083,-24.816018466221273,14.057544455480272,-9.758474010740999,"Christian Yelich","11477",592885
"Andrew Benintendi ","CHW","OF/DH",735.8099975585938,443.802,239.61020171642303,-32.45996566219966,21.305113631367174,-10.15485203083248,"Andrew Benintendi","17901",643217
"Dansby Swanson ","CHC","SS",152.30999755859375,527.002,253.93839728832245,-28.525773467268912,17.370232310689723,-10.155541156579192,"Dansby Swanson","18314",621020
"Jackson Holliday ","BAL","2B",203.14999389648438,442.245,239.8924081325531,-32.382478286058884,21.08561731868389,-10.29686096737499,"Jackson Holliday","31781",702616
"Kyle Manzardo ","CLE","1B/DH",253.4600067138672,414.828,240.95589363574982,-32.09046968350294,20.746184845518716,-10.34428483798423,"Kyle Manzardo","29794",700932
"Joey Ortiz ","MIL","SS",743.4400024414062,480.313,251.32510089874268,-29.243324411303274,17.370232310689723,-10.873092100613555,"Joey Ortiz","25493",687401
"Jonathan India ","KCR","2B/3B/OF/DH",607.719970703125,473.583,236.90700042247772,-33.20220242038738,21.08561731868389,-11.116585101703485,"Jonathan India","21523",663697
"Brenton Doyle ","COL","OF",166.25,483.949,235.830495595932,-33.497785828999376,21.305113631367174,-11.192672197632202,"Brenton Doyle","25479",686668
"Francisco Alvarez ","NYM","C",165.25,366.29,211.84970223903656,-40.08235885353119,27.34328016552604,-11.73907868800515,"Francisco Alvarez","26121",682626
"Jonathan Aranda ","TBR","1B",195.60000610351562,472.391,233.90040922164917,-34.027743052931875,20.746184845518716,-12.28155820741316,"Jonathan Aranda","21837",666018
"Sal Stewart ","CIN","1B/3B",161.8699951171875,416.063,255.82520151138306,-28.00770052427492,14.057544455480272,-12.95015606879465,"Sal Stewart","31505",701398
"Lourdes Gurriel Jr. ","ARI","OF",689.0700073242188,386.133,229.24369978904724,-35.3063681116052,21.305113631367174,-13.001254480238032,"Lourdes Gurriel Jr.","19238",666971
"Jac Caglianone ","KCR","OF",164.58999633789062,391.029,229.01219987869263,-35.369932650201434,21.305113631367174,-13.064819018834264,"Jac Caglianone","35041",695506
"Colson Montgomery ","CHW","SS",254.75,526.652,243.13940048217773,-31.490929040043135,17.370232310689723,-13.120696729353414,"Colson Montgomery","29712",695657
"Trevor Story ","BOS","SS",111.33000183105469,481.54,241.4665081501007,-31.950266709102078,17.370232310689723,-13.580034398412357,"Trevor Story","12564",596115
"Bo Naylor ","CLE","C",574.2899780273438,404.527,203.71069240570068,-42.317143324478344,27.34328016552604,-13.973863158952303,"Bo Naylor","21865",666310
"Marcell Ozuna ","PIT","DH",377.510009765625,451.42,250.87690219283104,-29.36638944358367,14.057544455480272,-14.308844988103399,"Marcell Ozuna","10324",542303
"Austin Wells ","NYY","C",246.13999938964844,386.287,202.05850338935852,-42.77079634031179,27.34328016552604,-14.427516174785751,"Austin Wells","27562",669224
"Matt McLain ","CIN","2B",144.3000030517578,483.661,223.5575994849205,-36.86764017296382,21.08561731868389,-14.782022854279926,"Matt McLain","29695",680574
"Mickey Moniak ","COL","OF",245.8300018310547,394.44,221.4345006942749,-37.45059415689786,21.305113631367174,-15.145480525530687,"Mickey Moniak","19956",666160
"J.P. Crawford ","SEA","SS",748.5399780273438,498.394,235.52509880065918,-33.58164074864296,17.370232310689723,-15.211408437953242,"J.P. Crawford","15491",641487
"Brooks Lee ","MIN","2B/3B/SS",542.5700073242188,434.378,235.3448051214218,-33.631145236636,17.370232310689723,-15.260912925946283,"Brooks Lee","31595",686797
"Jorge Soler ","LAA","OF/DH",634.8099975585938,439.819,220.6884924173355,-37.65543083195306,21.305113631367174,-15.350317200585891,"Jorge Soler","14221",624585
"Josh Smith ","TEX","1B/3B/SS",428.9100036621094,474.812,234.36380994319916,-33.90050389761055,17.370232310689723,-15.530271586920826,"Josh Smith","26396",669701
"Spencer Horwitz ","PIT","1B",738.1500244140625,398.644,219.17960381507874,-38.069736857595316,20.746184845518716,-16.3235520120766,"Spencer Horwitz","26477",687462
"Jordan Westburg ","BAL","3B",646.8400268554688,413.751,243.07770109176636,-31.507870270288798,14.057544455480272,-16.450325814808526,"Jordan Westburg","27815",676059
"Samuel Basallo ","BAL","C",160.94000244140625,363.633,193.2591994702816,-45.18688234538763,27.34328016552604,-16.843602179861595,"Samuel Basallo","28824",694212
"Chandler Simpson ","TBR","OF",180.19000244140625,353.261,213.92220604419708,-39.51329708624085,21.305113631367174,-17.20818345487367,"Chandler Simpson","31912",802415
"Mike Trout ","LAA","OF/DH",178.44000244140625,417.795,213.75239610671997,-39.55992298042911,21.305113631367174,-17.25480934906193,"Mike Trout","10155",545361
